Date;Cumulative Cases;Cumulative Deaths;Hos;Q;R;Healthcare workers;Imported E1;Imported E2;Evacuated;Undetected Cumulative Deaths;Vaccinated V1 (Pfizer);Vaccinated V2 (Moderna);Vaccinated V3 (AstraZeneca);Vaccinated V4 (Janssen)
11-Aug-2020;251713;35353;832;12959;202697;0;0;0;0;0;0;0;0;0
12-Aug-2020;252235;35361;841;13240;202923;0;0;0;0;0;0;0;0;0
13-Aug-2020;252809;35369;827;13422;203326;0;0;0;0;0;0;0;0;0
14-Aug-2020;253438;35377;819;13587;203640;0;0;0;0;0;0;0;0;0
15-Aug-2020;253915;35385;843;13890;203786;0;0;0;0;0;0;0;0;0
16-Aug-2020;254235;35393;868;13999;203968;0;0;0;0;0;0;0;0;0
17-Aug-2020;254636;35400;901;14188;204142;0;0;0;0;0;0;0;0;0
18-Aug-2020;255278;35408;932;14428;204506;0;0;0;0;0;0;0;0;0
19-Aug-2020;256118;35416;951;15063;204686;0;0;0;0;0;0;0;0;0
20-Aug-2020;257065;35424;988;15690;204960;0;0;0;0;0;0;0;0;0
21-Aug-2020;258136;35432;988;16515;205203;0;0;0;0;0;0;0;0;0
22-Aug-2020;259345;35440;1040;17398;205470;0;0;0;0;0;0;0;0;0
23-Aug-2020;260298;35441;1110;18085;205662;0;0;0;0;0;0;0;0;0
24-Aug-2020;261174;35445;1124;18590;206015;0;0;0;0;0;0;0;0;0
25-Aug-2020;262540;35458;1124;19629;206329;0;0;0;0;0;0;0;0;0
26-Aug-2020;263949;35463;1198;20734;206554;0;0;0;0;0;0;0;0;0
27-Aug-2020;265409;35472;1252;21783;206902;0;0;0;0;0;0;0;0;0
28-Aug-2020;266853;35473;1247;22909;207224;0;0;0;0;0;0;0;0;0
29-Aug-2020;268218;35477;1337;23868;207536;0;0;0;0;0;0;0;0;0
30-Aug-2020;269214;35483;1382;24696;207653;0;0;0;0;0;0;0;0;0
31-Aug-2020;270189;35491;1487;25267;207944;0;0;0;0;0;0;0;0;0
01-Sep-2020;271515;35497;1546;26271;208201;0;0;0;0;0;0;0;0;0
02-Sep-2020;272912;35507;1625;27290;208490;0;0;0;0;0;0;0;0;0
03-Sep-2020;274644;35518;1728;28371;209027;0;0;0;0;0;0;0;0;0
04-Sep-2020;276337;35533;1741;29453;209610;0;0;0;0;0;0;0;0;0
05-Sep-2020;277634;35541;1816;30262;210015;0;0;0;0;0;0;0;0;0
06-Sep-2020;278784;35553;1861;31132;210238;0;0;0;0;0;0;0;0;0
07-Sep-2020;280153;35563;1903;31886;210801;31189;0;0;0;0;0;0;0;0
08-Sep-2020;281583;35577;1928;32806;211272;0;0;0;0;0;0;0;0;0
09-Sep-2020;283180;35587;2000;33708;211885;0;0;0;0;0;0;0;0;0
10-Sep-2020;284796;35597;2024;34743;212432;0;0;0;0;0;0;0;0;0
11-Sep-2020;286297;35603;2133;35370;213191;0;0;0;0;0;0;0;0;0
12-Sep-2020;287753;35610;2229;36280;213634;0;0;0;0;0;0;0;0;0
13-Sep-2020;288761;35624;2319;36868;213950;0;0;0;0;0;0;0;0;0
14-Sep-2020;289990;35633;2423;37289;214645;0;0;0;0;0;0;0;0;0
15-Sep-2020;291442;35645;2492;38040;215265;0;0;0;0;0;0;0;0;0
16-Sep-2020;293025;35658;2560;38853;215954;0;0;0;0;0;0;0;0;0
17-Sep-2020;294932;35668;2595;39862;216807;0;0;0;0;0;0;0;0;0
18-Sep-2020;296569;35692;2595;40566;217716;0;0;0;0;0;0;0;0;0
19-Sep-2020;298156;35707;2587;41511;218351;0;0;0;0;0;0;0;0;0
20-Sep-2020;299506;35724;2707;42372;218703;0;0;0;0;0;0;0;0;0
21-Sep-2020;300897;35738;2843;42646;219670;0;0;0;0;0;0;0;0;0
22-Sep-2020;302537;35758;2902;43212;220665;0;0;0;0;0;0;0;0;0
23-Sep-2020;304323;35781;2977;43803;221762;0;0;0;0;0;0;0;0;0
24-Sep-2020;306235;35801;2981;44737;222716;0;0;0;0;0;0;0;0;0
25-Sep-2020;308104;35818;2993;45600;223693;0;0;0;0;0;0;0;0;0
26-Sep-2020;309870;35835;3100;46518;224417;0;0;0;0;0;0;0;0;0
27-Sep-2020;311364;35851;3241;47082;225190;0;0;0;0;0;0;0;0;0
28-Sep-2020;313011;35875;3319;47311;226506;0;0;0;0;0;0;0;0;0
29-Sep-2020;314861;35894;3327;47936;227704;0;0;0;0;0;0;0;0;0
30-Sep-2020;317409;35918;3388;49259;228844;0;0;0;0;0;0;0;0;0
01-Oct-2020;319908;35941;3436;50561;229970;0;0;0;0;0;0;0;0;0
02-Oct-2020;322751;35968;3502;52064;231217;0;0;0;0;0;0;0;0;0
03-Oct-2020;325329;35986;3590;53839;231914;0;0;0;0;0;0;0;0;0
04-Oct-2020;327586;36002;3810;55093;232681;32852;0;0;0;0;0;0;0;0
05-Oct-2020;330263;36030;3944;56190;234099;0;0;0;0;0;0;0;0;0
06-Oct-2020;333940;36061;4119;58457;235303;0;0;0;0;0;0;0;0;0
07-Oct-2020;338398;36083;4283;61669;236363;0;0;0;0;0;0;0;0;0
08-Oct-2020;343770;36111;4473;65637;237549;0;0;2;0;0;0;0;0;0
09-Oct-2020;349494;36140;4726;70103;238525;33717;0;0;0;0;0;0;0;0
10-Oct-2020;354950;36166;4939;74136;239709;0;0;0;0;0;0;0;0;0
11-Oct-2020;359569;36205;5273;77491;240600;0;0;0;0;0;0;0;0;0
12-Oct-2020;365467;36246;5590;81603;242028;0;0;0;0;0;0;0;0;0
13-Oct-2020;372799;36289;6009;86436;244065;0;0;0;0;0;0;0;0;0
14-Oct-2020;381602;36372;6382;92884;245964;0;0;0;0;0;0;0;0;0
15-Oct-2020;391611;36427;6816;100496;247872;0;0;0;0;0;0;0;0;0
16-Oct-2020;402536;36474;7322;109613;249127;0;0;0;0;0;0;0;0;0
17-Oct-2020;414241;36543;7881;118356;251461;0;0;0;0;0;0;0;0;0
18-Oct-2020;423578;36616;8473;125530;252959;0;0;0;0;0;0;0;0;0
19-Oct-2020;434449;36705;9324;133415;255005;0;0;0;0;0;0;0;0;0
20-Oct-2020;449648;36832;9983;145459;257374;0;0;0;0;0;0;0;0;0
21-Oct-2020;465726;36968;10686;158616;259456;0;0;0;0;0;0;0;0;0
22-Oct-2020;484869;37059;11598;174404;261808;0;0;0;0;0;0;0;0;0
23-Oct-2020;504509;37210;12415;190767;264117;0;0;0;0;0;0;0;0;0
24-Oct-2020;525782;37338;13214;209027;266203;0;0;0;0;0;0;0;0;0
25-Oct-2020;542789;37479;14281;222403;268626;0;0;0;0;0;0;0;0;0
26-Oct-2020;564778;37700;15366;239724;271988;0;0;0;0;0;0;0;0;0
27-Oct-2020;589766;37905;16517;259940;275404;0;0;0;0;0;0;0;0;0
28-Oct-2020;616595;38122;17615;281576;279282;0;0;0;0;0;0;0;0;0
29-Oct-2020;647674;38321;18740;307046;283567;0;0;0;0;0;0;0;0;0
30-Oct-2020;679430;38618;19809;331577;289426;0;0;0;0;0;0;0;0;0
31-Oct-2020;709335;38826;20841;357288;292380;0;0;0;0;0;0;0;0;0
01-Nov-2020;731588;39059;21862;374650;296017;0;0;0;0;0;0;0;0;0
02-Nov-2020;759829;39412;23339;394803;302275;0;0;0;0;0;0;0;0;0
03-Nov-2020;790377;39747;24408;418827;307378;0;0;0;0;0;0;0;0;0
04-Nov-2020;824879;40192;25647;446701;312339;0;0;0;0;0;0;0;0;0
05-Nov-2020;862681;40638;26520;472598;322925;0;0;0;0;0;0;0;0;0
06-Nov-2020;902490;41063;27743;504793;328891;0;0;0;0;0;0;0;0;0
07-Nov-2020;935104;41394;29189;529447;335074;0;0;0;0;0;0;0;0;0
08-Nov-2020;960373;41750;30485;542849;345289;50759;0;0;0;0;0;0;0;0
09-Nov-2020;995463;42330;31604;558506;363023;0;0;0;0;0;0;0;0;0
10-Nov-2020;1028424;42953;32525;580833;372113;0;0;0;0;0;0;0;0;0
11-Nov-2020;1066401;43589;33043;602011;387758;0;0;0;0;0;0;0;0;0
12-Nov-2020;1107303;44139;34144;629782;399238;55229;0;0;0;0;0;0;0;0
13-Nov-2020;1144552;44683;34704;653731;411434;0;0;0;0;0;0;0;0;0
14-Nov-2020;1178529;45229;35469;677021;420810;0;0;0;0;0;0;0;0;0
15-Nov-2020;1205881;45733;36028;681756;442364;0;0;0;0;0;0;0;0;0
16-Nov-2020;1238072;46464;36686;697124;457798;0;0;0;0;0;0;0;0;0
17-Nov-2020;1272352;47217;37174;705994;481967;0;0;0;0;0;0;0;0;0
18-Nov-2020;1308528;47870;37322;724349;498987;0;0;0;0;0;0;0;0;0
19-Nov-2020;1345767;48569;37705;739471;520022;0;0;0;0;0;0;0;0;0
20-Nov-2020;1380531;49261;37821;753925;539524;0;0;0;0;0;0;0;0;0
21-Nov-2020;1408868;49823;38080;767867;553098;0;0;0;0;0;0;0;0;0
22-Nov-2020;1431795;50453;38507;758342;584493;0;0;0;0;0;0;0;0;0
23-Nov-2020;1455022;51306;38393;759993;605330;0;0;0;0;0;0;0;0;0
24-Nov-2020;1480874;52028;38161;753536;637149;0;0;1;0;0;0;0;0;0
25-Nov-2020;1509875;52850;37884;757961;661180;0;0;1;0;0;0;0;0;0
26-Nov-2020;1538217;53677;37466;750427;696647;0;0;1;0;0;0;0;0;0
27-Nov-2020;1564532;54363;37061;752247;720861;0;0;1;0;0;0;0;0;0
28-Nov-2020;1585178;54904;36632;759139;734503;0;0;4;0;0;0;0;0;0
29-Nov-2020;1601554;55576;36931;751540;757507;70164;0;0;0;0;0;0;0;0
30-Nov-2020;1620901;56361;36474;743471;784595;0;0;6;0;0;0;0;0;0
01-Dec-2020;1641610;57045;36070;725160;823335;0;0;0;0;0;0;0;0;0
02-Dec-2020;1664829;58038;35369;724613;846809;0;0;0;0;0;0;0;0;0
03-Dec-2020;1688939;58852;34767;722935;872385;0;0;0;0;0;0;0;0;0
04-Dec-2020;1709991;59514;33675;720494;896308;0;0;0;0;0;0;0;0;0
05-Dec-2020;1728878;60078;33845;721461;913494;75095;0;0;0;0;0;0;0;0
06-Dec-2020;1742557;60606;33906;714913;933132;75746;0;0;0;0;0;0;0;0
07-Dec-2020;1757394;61240;33426;704099;958629;0;0;0;0;0;0;0;0;0
08-Dec-2020;1770149;61739;32973;677542;997895;0;0;0;0;0;0;0;0;0
09-Dec-2020;1787147;62626;32379;664148;1027994;0;0;0;0;0;0;0;0;0
10-Dec-2020;1805873;63387;31827;658496;1052163;0;0;0;0;0;0;0;0;0
11-Dec-2020;1825775;64036;31265;653583;1076891;0;0;0;0;0;0;0;0;0
12-Dec-2020;1843712;64520;30893;655138;1093161;80457;0;0;0;0;0;0;0;0
