Date;coef mort;coef betaH;% Original Variant;% Variant 2;Estimated V1 (Pfizer);Estimated V2 (Moderna);Estimated V3 (AstraZeneca);Estimated V4 (J&J)
04-Apr-2020;1;1;100;0;-;-;-;-
05-Apr-2020;1;1;100;0;-;-;-;-
06-Apr-2020;1;1;100;0;-;-;-;-
07-Apr-2020;1;1;100;0;-;-;-;-
08-Apr-2020;1;1;100;0;-;-;-;-
09-Apr-2020;1;1;100;0;-;-;-;-
10-Apr-2020;1;1;100;0;-;-;-;-
11-Apr-2020;1;1;100;0;-;-;-;-
12-Apr-2020;1;1;100;0;-;-;-;-
13-Apr-2020;1;1;100;0;-;-;-;-
14-Apr-2020;1;1;100;0;-;-;-;-
15-Apr-2020;1;1;100;0;-;-;-;-
16-Apr-2020;1;1;100;0;-;-;-;-
17-Apr-2020;1;1;100;0;-;-;-;-
18-Apr-2020;1;1;100;0;-;-;-;-
19-Apr-2020;1;1;100;0;-;-;-;-
20-Apr-2020;1;1;100;0;-;-;-;-
21-Apr-2020;1;1;100;0;-;-;-;-
22-Apr-2020;1;1;100;0;-;-;-;-
23-Apr-2020;1;1;100;0;-;-;-;-
24-Apr-2020;1;1;100;0;-;-;-;-
25-Apr-2020;1;1;100;0;-;-;-;-
26-Apr-2020;1;1;100;0;-;-;-;-
27-Apr-2020;1;1;100;0;-;-;-;-
28-Apr-2020;1;1;100;0;-;-;-;-
29-Apr-2020;1;1;100;0;-;-;-;-
30-Apr-2020;1;1;100;0;-;-;-;-
01-May-2020;1;1;100;0;-;-;-;-
02-May-2020;1;1;100;0;-;-;-;-
03-May-2020;1;1;100;0;-;-;-;-
04-May-2020;1;1;100;0;-;-;-;-
05-May-2020;1;1;100;0;-;-;-;-
06-May-2020;1;1;100;0;-;-;-;-
07-May-2020;1;1;100;0;-;-;-;-
08-May-2020;1;1;100;0;-;-;-;-
09-May-2020;1;1;100;0;-;-;-;-
10-May-2020;1;1;100;0;-;-;-;-
11-May-2020;1;1;100;0;-;-;-;-
12-May-2020;1;1;100;0;-;-;-;-
13-May-2020;1;1;100;0;-;-;-;-
14-May-2020;1;1;100;0;-;-;-;-
15-May-2020;1;1;100;0;-;-;-;-
16-May-2020;1;1;100;0;-;-;-;-
17-May-2020;1;1;100;0;-;-;-;-
18-May-2020;1;1;100;0;-;-;-;-
19-May-2020;1;1;100;0;-;-;-;-
20-May-2020;1;1;100;0;-;-;-;-
21-May-2020;1;1;100;0;-;-;-;-
22-May-2020;1;1;100;0;-;-;-;-
23-May-2020;1;1;100;0;-;-;-;-
24-May-2020;1;1;100;0;-;-;-;-
25-May-2020;1;1;100;0;-;-;-;-
26-May-2020;1;1;100;0;-;-;-;-
27-May-2020;1;1;100;0;-;-;-;-
28-May-2020;1;1;100;0;-;-;-;-
29-May-2020;1;1;100;0;-;-;-;-
30-May-2020;1;1;100;0;-;-;-;-
31-May-2020;1;1;100;0;-;-;-;-
01-Jun-2020;1;1;100;0;-;-;-;-
02-Jun-2020;1;1;100;0;-;-;-;-
03-Jun-2020;1;1;100;0;-;-;-;-
04-Jun-2020;1;1;100;0;-;-;-;-
05-Jun-2020;1;1;100;0;-;-;-;-
06-Jun-2020;1;1;100;0;-;-;-;-
